mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3653447151184082,0.013099492972661638,0.013965606689453125,0.00530902884721603,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.7732558139534884,0.7412790697674418,0.8168604651162791,0.7906976744186046,0.793002915451895,0.7830191877415419,0.025065621664803136,13
0.7003247261047363,0.031237907410506485,0.014029264450073242,0.0009864994930152504,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7703488372093024,0.7674418604651163,0.813953488372093,0.7936046511627907,0.7959183673469388,0.7882534409112483,0.017329603009301683,2
1.4670727252960205,0.10322189393635268,0.05776433944702149,0.03310307053257364,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.7645348837209303,0.7587209302325582,0.813953488372093,0.7877906976744186,0.7871720116618076,0.7824344023323615,0.019633181872936036,15
0.3319862842559814,0.007539366973396995,0.007294511795043946,0.0012971182426481254,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.7703488372093024,0.7587209302325582,0.8343023255813954,0.7761627906976745,0.8134110787172012,0.7905891924876263,0.028513350155689992,1
0.8780547142028808,0.06133604279658463,0.015303754806518554,0.0019228802806184587,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.7645348837209303,0.752906976744186,0.8081395348837209,0.7790697674418605,0.8163265306122449,0.7841955386805886,0.024484707835587448,12
1.4786020278930665,0.07885906959774207,0.03381047248840332,0.0019882609438859745,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.7732558139534884,0.75,0.8081395348837209,0.7936046511627907,0.7988338192419825,0.7847667638483965,0.020801473801012757,10
0.33614096641540525,0.01905462837228603,0.009716129302978516,0.002207644506112891,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.752906976744186,0.7645348837209303,0.7965116279069767,0.7674418604651163,0.7667638483965015,0.7696318394467422,0.014430830872554926,26
0.714586591720581,0.05086202960741067,0.014075660705566406,0.0027441036720257375,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.7674418604651163,0.747093023255814,0.7965116279069767,0.7848837209302325,0.7959183673469388,0.7783697199810156,0.01885293572668958,21
1.2136682510375976,0.02121734537192274,0.02616567611694336,0.0023670105248105376,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.7645348837209303,0.7558139534883721,0.7936046511627907,0.7819767441860465,0.793002915451895,0.777786629602007,0.015216500819055847,23
0.2960073947906494,0.007454689600277479,0.007344722747802734,0.0010216299377298946,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.7761627906976745,0.7703488372093024,0.8052325581395349,0.7819767441860465,0.8017492711370262,0.7870940402739168,0.013927400218537448,3
0.6027960777282715,0.023054275714766887,0.015204191207885742,0.0020344723932282155,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.7558139534883721,0.7877906976744186,0.7994186046511628,0.7848837209302325,0.7842565597667639,0.78243270730219,0.014388333675563417,16
1.2178504943847657,0.03354355278288081,0.02731356620788574,0.0025270842766987067,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.7587209302325582,0.7761627906976745,0.7965116279069767,0.7906976744186046,0.8046647230320699,0.7853515492575769,0.01624653959752537,8
0.2925426006317139,0.008290202991277378,0.00850534439086914,0.001068354403166283,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.7558139534883721,0.7703488372093024,0.8168604651162791,0.7906976744186046,0.793002915451895,0.7853447691368907,0.02086857417384286,9
0.6477976322174073,0.05196536743440347,0.015457057952880859,0.003330506066090149,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.7587209302325582,0.7703488372093024,0.811046511627907,0.7761627906976745,0.7959183673469388,0.7824394874228762,0.018698624213733226,14
1.404059648513794,0.03867581701128629,0.025763273239135742,0.0018872756492233347,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.7616279069767442,0.752906976744186,0.813953488372093,0.7703488372093024,0.793002915451895,0.7783680249508441,0.02224099424254877,22
0.3345132350921631,0.031928094476298456,0.011500024795532226,0.003463559968921696,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.7587209302325582,0.7703488372093024,0.8023255813953488,0.7819767441860465,0.7900874635568513,0.7806919113160214,0.015150221584268854,17
0.639014720916748,0.03129686926908613,0.016559410095214843,0.0028743780814161684,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.7645348837209303,0.7616279069767442,0.8052325581395349,0.7819767441860465,0.7871720116618076,0.7801088209370126,0.015929040603362345,19
1.6426344394683838,0.07424580438487614,0.039893388748168945,0.010870130803838496,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.747093023255814,0.752906976744186,0.7906976744186046,0.7732558139534884,0.7959183673469388,0.7719743711438063,0.01953543517449331,25
0.5437509536743164,0.04210436794790673,0.01147928237915039,0.003316923413879593,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.7703488372093024,0.7587209302325582,0.813953488372093,0.7936046511627907,0.7871720116618076,0.7847599837277104,0.019089369738742288,11
